city,pollutant,season,year,season_mean
Hull,no2,Winter,2023,24.442592593333334
Hull,no2,Winter,2024,17.948862509999998
Hull,no2,Winter,2025,18.480539546666666
Hull,no2,Spring,2023,18.137465276666667
Hull,no2,Spring,2024,23.23957621
Hull,no2,Spring,2025,13.877949319999999
Hull,no2,Summer,2023,24.047872096666666
Hull,no2,Summer,2024,17.810609243333335
Hull,no2,Summer,2025,12.935638033333333
Hull,no2,Autumn,2023,21.404040403333333
Hull,no2,Autumn,2024,17.591617936666665
Hull,no2,Autumn,2025,16.53340552
Hull,pm25,Winter,2023,9.834398783666666
Hull,pm25,Winter,2024,7.595597484333333
Hull,pm25,Winter,2025,9.16881693
Hull,pm25,Spring,2023,7.166559263333333
Hull,pm25,Spring,2024,8.879802520666667
Hull,pm25,Spring,2025,7.890797512333334
Hull,pm25,Summer,2023,7.865930527
Hull,pm25,Summer,2024,10.059926856333334
Hull,pm25,Summer,2025,6.704909587
Hull,pm25,Autumn,2023,6.289720139
Hull,pm25,Autumn,2024,14.04695767
Hull,pm25,Autumn,2025,7.5272409719999995
Hull,pm10,Winter,2023,14.049759005333334
Hull,pm10,Winter,2024,13.345101413
Hull,pm10,Winter,2025,17.175973496666664
Hull,pm10,Spring,2023,10.367287632333333
Hull,pm10,Spring,2024,15.973635803666665
Hull,pm10,Spring,2025,15.404001576666666
Hull,pm10,Summer,2023,12.172360246666667
Hull,pm10,Summer,2024,17.30249042
Hull,pm10,Summer,2025,13.673883623333333
Hull,pm10,Autumn,2023,12.270574963333333
Hull,pm10,Autumn,2024,21.72813051
Hull,pm10,Autumn,2025,14.17277487
Hull,o3,Winter,2023,35.37335109
Hull,o3,Winter,2024,49.707637326666664
Hull,o3,Winter,2025,50.20173242
Hull,o3,Spring,2023,41.697540833333335
Hull,o3,Spring,2024,42.392473206666665
Hull,o3,Spring,2025,53.561383193333334
Hull,o3,Summer,2023,40.39293190666667
Hull,o3,Summer,2024,47.21373185666666
Hull,o3,Summer,2025,53.91246886333333
Hull,o3,Autumn,2023,46.525177326666665
Hull,o3,Autumn,2024,50.286441413333336
Hull,o3,Autumn,2025,45.57881856
Sheffield,no2,Winter,2023,27.02986071666667
Sheffield,no2,Winter,2024,20.470728966666666
Sheffield,no2,Winter,2025,17.458605496666667
Sheffield,no2,Spring,2023,19.380291003333333
Sheffield,no2,Spring,2024,23.991979596666667
Sheffield,no2,Spring,2025,8.501007144333332
Sheffield,no2,Summer,2023,20.53952569333333
Sheffield,no2,Summer,2024,21.681271256666665
Sheffield,no2,Summer,2025,9.924484022
Sheffield,no2,Autumn,2023,16.382154883333335
Sheffield,no2,Autumn,2024,22.488791423333332
Sheffield,no2,Autumn,2025,16.849548170000002
Sheffield,pm25,Winter,2023,11.406455864
Sheffield,pm25,Winter,2024,7.608127695333334
Sheffield,pm25,Winter,2025,7.820675105333334
Sheffield,pm25,Spring,2023,7.949551971333333
Sheffield,pm25,Spring,2024,6.866274687
Sheffield,pm25,Spring,2025,6.892841751
Sheffield,pm25,Summer,2023,8.073781291333333
Sheffield,pm25,Summer,2024,11.957747151666666
Sheffield,pm25,Summer,2025,6.042036627333333
Sheffield,pm25,Autumn,2023,5.321380471333334
Sheffield,pm25,Autumn,2024,16.318224909999998
Sheffield,pm25,Autumn,2025,7.499490234
Sheffield,pm10,Winter,2023,14.230237153333333
Sheffield,pm10,Winter,2024,11.294108754333333
Sheffield,pm10,Winter,2025,14.15461498
Sheffield,pm10,Spring,2023,10.006144393333333
Sheffield,pm10,Spring,2024,10.997738582666667
Sheffield,pm10,Spring,2025,12.35937895
Sheffield,pm10,Summer,2023,11.611989458333333
Sheffield,pm10,Summer,2024,17.193454576666667
Sheffield,pm10,Summer,2025,10.977125483333333
Sheffield,pm10,Autumn,2023,9.135521887333333
Sheffield,pm10,Autumn,2024,21.880272813333335
Sheffield,pm10,Autumn,2025,12.311126388666667
Sheffield,o3,Winter,2023,15.252015035666666
Sheffield,o3,Winter,2024,43.531360793333334
Sheffield,o3,Winter,2025,46.30703157666667
Sheffield,o3,Spring,2023,30.28875661333333
Sheffield,o3,Spring,2024,43.945048490000005
Sheffield,o3,Spring,2025,54.434261479999996
Sheffield,o3,Summer,2023,30.059617916666667
Sheffield,o3,Summer,2024,37.28414600333333
Sheffield,o3,Summer,2025,52.377997556666664
Sheffield,o3,Autumn,2023,46.37306397333333
Sheffield,o3,Autumn,2024,37.66591130333333
Sheffield,o3,Autumn,2025,42.182428116666664
